Median House  Price - 2019,,,,,,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,prelim 2020,change,change,Growth PA,
WARRAGUL,247000,280000,295000,300000,315000,320000,342000,340000,364000,449000,460000,470000,2,86,6.4,
WARRANDYTE,575000,635000,657000,620000,640000,760000,829000,890000,1042500,1110000,987500,950000,-11,72,5.6,
WARRANWOOD,553000,633500,632500,654000,603000,665000,790000,865000,945000,1010000,935000,890000,-7,69,5.4,
WARRNAMBOOL,295000,320000,320000,316500,325000,323000,330000,320000,330000,350000,370000,391500,6,25,2.3,
WATERWAYS,535000,604000,688000,682000,667000,845000,902000,1050000,1127500,1110000,1270000,1475000,14,137,9.0,
WATSONIA,431000,505000,500000,462000,505000,555000,607500,698000,835000,795000,736000,765000,-7,71,5.5,
WATSONIA NORTH,435000,529000,470500,462000,510000,572500,635000,702500,790000,775000,726500,770000,-6,67,5.3,
WATTLE GLEN,450000,490000,569500,527000,475000,500500,569000,580000,620000,810000,778500,918000,-4,73,5.6,
WAURN PONDS,375000,435000,421000,452500,446500,470000,480000,501000,530000,621500,641500,575000,3,71,5.5,
WEDDERBURN,70000,140000,123000,122500,154000,137500,110000,150000,155000,130000,138500,125000,7,98,7.1,
WEIR VIEWS,-,-,-,407000,327500,388000,389000,418000,440000,471000,462500,465000,-2,NA,NA,
WENDOUREE,205000,230000,235000,236500,243000,247000,250000,252500,267500,326000,335000,365000,3,63,5.0,
WENDOUREE WEST,163500,186000,166000,167500,200000,165000,207500,185000,200000,245000,257500,300000,5,58,4.6,
WERRIBEE,263500,308500,315000,300000,308500,315000,335000,403000,470000,510000,510000,510000,0,94,6.8,
WERRIBEE SOUTH,420000,399000,436000,440000,538000,585000,680000,519000,620000,735000,744500,590000,1,77,5.9,
WESBURN,278000,330000,327000,290000,312500,288500,395000,455000,455000,463500,530000,665000,14,91,6.7,
WEST FOOTSCRAY,478000,558500,525000,532500,553000,637500,697000,798000,890000,875000,787500,852500,-10,65,5.1,
WEST MELBOURNE,762000,816000,885000,720000,905000,916000,1005000,1104500,1370000,1370000,1085000,1500000,-21,42,3.6,
WEST WODONGA,265000,283000,275000,267500,272500,296000,306000,308500,321000,321000,342500,394000,7,29,2.6,
WESTALL,415000,510000,490000,475500,513500,550000,610000,696000,765000,802500,730000,739000,-9,76,5.8,
WESTGARTH,765000,891500,951000,840000,920000,1100000,1300000,1500000,1383000,1707500,1505000,1600000,-12,97,7.0,
WESTMEADOWS,346000,410000,397500,377500,386500,419000,470000,500000,566000,620000,620000,534500,0,79,6.0,
WHEELERS HILL,615000,686500,650000,669000,740000,805000,999000,1050000,1160000,1118500,1009000,1255000,-10,64,5.1,
WHITE HILLS,220000,253500,265000,275000,280000,306000,297500,305000,300000,313500,330000,315000,5,50,4.1,
WHITTINGTON,207500,245000,265000,252000,259000,262000,280000,265000,316500,395000,377500,409500,-4,82,6.2,
WHITTLESEA,330000,345000,372500,365000,375000,375000,400000,448500,469500,577500,577500,593500,0,75,5.8,
WILLAURA,99000,110000,97000,98000,80000,112000,129500,85000,100000,117500,110000,156500,-6,11,1.1,
WILLIAMS LANDING,355000,367500,371000,450000,470000,450000,510000,530000,600000,685000,660000,670000,-4,86,6.4,
WILLIAMSTOWN,800000,884000,900000,901000,920000,970000,1120000,1282500,1440000,1430000,1350000,1570000,-6,69,5.4,
WILLIAMSTOWN NORTH,500000,680000,839000,680000,768000,803500,862500,1135500,1024000,860000,915000,955000,6,83,6.2,
WIMBLEDON HEIGHTS,260000,299000,259000,290000,271500,310000,291500,299000,334000,410000,386500,405000,-6,49,4.0,
WINCHELSEA,206000,235000,260000,268500,287000,287500,262000,267000,357000,391000,430000,525500,10,109,7.6,
WINDSOR,781500,900000,824000,818000,835000,956500,1094000,1505000,1425000,1422500,1350000,1501000,-5,73,5.6,
WINTER VALLEY,306000,325000,329000,353500,344500,360000,365000,362500,375000,405000,435000,485000,7,42,3.6,
WODONGA,240000,262000,279500,255500,282500,296500,295000,315000,341500,350000,330500,356500,-6,38,3.3,
WOLLERT,403000,425000,450000,410000,400000,395000,430000,460000,530000,570000,577500,593500,1,43,3.7,
WONGA PARK,667000,620000,672500,622500,674500,673500,735000,801000,962500,1150000,1111000,1001000,-3,67,5.2,
WONTHAGGI,250000,275000,257500,229000,230000,251000,260000,265000,289000,339000,375000,370000,11,50,4.1,
WOODEND,339500,480000,475000,430000,470000,460000,482500,460000,560000,665000,747500,620000,12,120,8.2,
WOOLAMAI WATERS,280000,340000,350000,350000,349500,381500,340000,377000,418000,469500,495500,570000,5,77,5.9,
WOORI YALLOCK,278000,300000,312000,315000,330000,317000,358000,391500,480000,520000,510000,527500,-2,83,6.3,
WY YUNG,269000,289000,288500,325000,285000,285000,290000,333500,328000,315000,349000,323000,11,30,2.6,
WYCHEPROOF,115000,86000,86000,96500,95000,103000,100000,82500,100000,124500,141500,170000,13,23,2.1,
WYE RIVER,635000,760000,680000,557500,813000,646500,530000,1025000,718500,870000,1300000,1042500,49,105,7.4,
WYNDHAM VALE,261000,296000,290000,286500,288500,306000,325000,365000,436000,480000,465000,468500,-3,78,5.9,
YACKANDANDAH,225000,289500,290000,272500,327500,318000,300000,392500,446000,472500,497500,NA,5,121,8.3,
YALLAMBIE,442500,507000,506000,471000,532500,580000,665000,713500,781000,810000,792500,950000,-2,79,6.0,
YALLOURN NORTH,120000,145000,139000,161000,135000,149500,153000,165500,180000,173500,191000,142500,10,59,4.8,
YARRA GLEN,370000,415000,425000,395000,420000,460000,530000,540000,620000,670000,670000,815000,0,81,6.1,
YARRA JUNCTION,292000,352500,365000,397000,406500,357500,417500,422500,535000,570000,582500,528000,2,99,7.1,
YARRAGON,196500,206000,255000,266000,258000,297000,284000,300000,280000,390000,410000,434000,5,109,7.6,
YARRAM,180000,166000,195500,215000,190000,202500,245000,230000,225000,218000,240000,260000,10,33,2.9,
YARRAVILLE,541000,647000,607000,613000,696000,710000,810000,900500,1000000,1045000,971000,950000,-7,79,6.0,
YARRAWONGA,270000,297000,270000,300000,302500,297000,300500,320000,324500,345000,375000,398000,9,39,3.3,
YEA,214000,240000,270000,255000,260000,255000,260000,305000,386500,392500,435500,416500,11,104,7.4,
YINNAR,183000,280500,208000,221500,220000,240000,182500,230000,270000,245000,255000,237500,4,39,3.4,
